index,pathCount,beats,edge,transition,step,group,optional,hold,labelOffset
1,,1,RBO,pr,ee,pr1,,cl,
2,,1,LBI,prx,pr,pr1,,cl,
3,,2,RBO,pr,ee,pr1,,cl,
4a,,4,LBO,s,swr,,,cl,
4b,,2,RFI,,,,,cl,
5,,1,LFO,pr,ee,pr2,,f,
6,,1,RFI,prx,pr,pr2,,f,
7,,2,LFO,pr,ee,pr2,,f,
8,,4,RFO,s,bk,,,cl,
9,,1,LFO,s,tt,3,,cl,
,,1_,LBI,tt,e,3,,cl,
10,,1,RBO,pr,ee,pr3,,cl,
11,,1,LBI,prx,pr,pr3,,cl,
12,,2,RBO,pr,ee,pr3,,cl,
13,,1,LFO,pr,ee,pr4,,oc,
14,,1,RFI,prx,pr,pr4,,oc,
15,,1,LFO,pr,ee,pr5,,oc,
16,,1,RFI,prx,pr,pr5,,oc,
17,,1,LFO,s,opmo,m,,oc,
18,,1,RBO,mo,ee,m,,oc,
19,,2,LBI,,,,,oc,
1,,1,LFO,pr,ee,pr1,,cl,
2,,1,RFI,prx,pr,pr1,,cl,
3,,2,LFO,pr,ee,pr1,,cl,
4,,4,RFO,s,cesw,ce,,cl,
,,2_,RFI,c,e,ce,,cl,
5,,1,LFO,pr,ee,pr2,,f,
6,,1,RFI,prx,pr,pr2,,f,
7,,2,LFO,pr,ee,pr2,,f,
8a,,1,RFO,s,tt,3,,cl,
,,1_,RBI,tt,e,3,,cl,
8b,,2,LBO,,,,,cl,
9,,2,RBO,,,,,cl,
10,,1,LFO,pr,ee,pr3,,cl,
11,,1,RFI,prx,pr,pr3,,cl,
12,,2,LFO,pr,ee,pr3,,cl,
13,,1,RFI,s,opmo,m,,oc,
14,,1,LBI,mo,ee,m,,oc,
15,,1,RBO,pr,ee,pr4,,oc,
16,,1,LFI,prx,pr,pr4,,oc,
17,,1,RBO,,,,,oc,
18,,1,LBI,xf,ee,,,oc,
19,,2,RFI,,,,,oc,
